"","company","region","seniority","job_category","gender","ethnicity","count","inflow","outflow","salary","year"
"170","Apple","Northern Africa",3,"empty","male","hispanic",0.011904,0,0,301.74764741562,"2020"
"171","Bristol Myers Squibb Co.",NA,4,"Operations","female","hispanic",2.044573,0.00078799999999999,0.00101399999999999,151278.823349296,"2020"
"172","Accenture Plc","Northern Europe",7,"Engineer","male","black",0.00369399999999999,0,0,460.258726708205,"2020"
"173","The Home Depot",NA,6,"Admin","male","multiple",0,0,0,NA,"2020"
"174","The Home Depot","Southern America",2,"Sales","female","native",0.077824,0.001,0,3469.76698154754,"2020"
"175","The Home Depot","Central and Western Asia",5,"Operations","male","hispanic",0.00416199999999999,0,0,254.263593116827,"2020"
"176","Apple","Central America and the Caribbean",2,"Marketing","female","black",1.460703,0.000522,0.000282,39796.3701907673,"2020"
"177","Bristol Myers Squibb Co.","Central America and the Caribbean",2,"Finance","female","black",0.353458,0.00016899999999999,0.054185,21565.3725517917,"2020"
"178","The Goldman Sachs Group","Southern America",4,"empty","male","hispanic",0.00899999999999999,0,0,293.474802611444,"2020"
"179","The Home Depot","Central America and the Caribbean",2,"empty","female","multiple",0,0,0,NA,"2020"
"180","Accenture Plc","South-Eastern Asia",3,"Finance","female","hispanic",145.473349,0.070117,5.887334,2460543.82004835,"2020"
"181","Accenture Plc","South-Eastern Asia",4,"Engineer","male","white",465.358656,5.377676,8.092017,10748485.1601978,"2020"
"182","Bristol Myers Squibb Co.","Southern Europe",6,"Admin","female","white",2.338382,0.000603,0.00052599999999999,169725.803601493,"2020"
"183","Accenture Plc",NA,5,"empty","male","native",0.010966,0,0,745.422121046884,"2020"
"184","Bristol Myers Squibb Co.","Eastern Europe",5,"Operations","female","black",0,0,0,NA,"2020"
"185","The Home Depot","Southern Asia",1,"Finance","female","multiple",0.43211,0.000103,0.000103,3620.22946519185,"2020"
"186","Accenture Plc","Northern Europe",2,"Scientist","male","hispanic",3.671813,0.001907,0.549221,172679.769912218,"2020"
"187","Databricks","Southern Asia",6,"Operations","male","black",0,0,0,NA,"2020"
"188","Bristol Myers Squibb Co.","Northern America",4,"Scientist","male","black",58.558459,0.605269,2.136985,7082874.71454558,"2020"
"189","Apple","Northern America",4,"Engineer","male","black",152.550996,3.246356,1.493314,19896157.4209623,"2020"
"190","Accenture Plc","Southern Europe",2,"Marketing","female","multiple",4.376573,0.2678,0.193094,179598.177040797,"2020"
"191","Databricks","Eastern Europe",3,"Sales","male","native",0,0,0,NA,"2020"
"192","The Goldman Sachs Group","Sub-Saharan Africa",2,"Engineer","female","black",13.047443,0.00544199999999999,0.012584,225011.4249901,"2020"
"193","Accenture Plc","South-Eastern Asia",5,"Engineer","female","white",46.514693,0.089041,0.050897,1424595.39717777,"2020"
"194","The Goldman Sachs Group","Southern Asia",1,"Sales","male","black",10.295515,0.036027,0.025533,128761.864944292,"2020"
"195","The Home Depot","Northern America",2,"Marketing","male","native",3.855765,0.064384,0.008543,294725.927971182,"2020"
"196","Bristol Myers Squibb Co.","Arab States",2,"Engineer","male","native",0.055628,1.9e-05,1.5e-05,3459.89299863436,"2020"
"197","The Home Depot","Southern Europe",2,"Admin","male","native",0.00801699999999999,0,0,1057.34184758446,"2020"
"198","Accenture Plc","Northern America",1,"Marketing","female","hispanic",77.425396,2.32913,0.177415,4515480.70988041,"2020"
"199","Databricks","Pacific Islands",4,"Sales","female","white",1.218115,0.00059,3.8e-05,131476.827060658,"2020"
"200","Bristol Myers Squibb Co.","Pacific Islands",6,"Finance","male","white",0,0,0,0,"2020"
"201","Databricks","Pacific Islands",5,"Admin","male","native",0,0,0,NA,"2020"
"202","Accenture Plc","Arab States",1,"Operations","male","black",2.476178,0.000428,0.000573,131611.702868252,"2020"
"203","Accenture Plc","Western Europe",2,"Finance","female","white",83.166044,0.029907,2.482824,5091546.12186381,"2020"
"204","Accenture Plc","Western Europe",7,"Operations","female","native",0,0,0,NA,"2020"
"205","Apple","Western Europe",5,"Engineer","male","api",6.795882,0.006195,0.001479,837140.825804849,"2020"
"206","Bristol Myers Squibb Co.","Western Europe",4,"Admin","female","api",0.412657,0.00019699999999999,0.160627,40081.7473007743,"2020"
"207","The Goldman Sachs Group","Sub-Saharan Africa",3,"Sales","male","hispanic",0.24405,4.4e-05,3.4e-05,8727.99982995087,"2020"
